name,colorIdentity,keywords,supertypes
Ancestor's Chosen,W,First strike,
Ancestor's Chosen,W,First strike,
Angel of Mercy,W,Flying,
Angel of Mercy,W,Flying,
Angelic Blessing,W,,
Angelic Blessing,W,,
Angelic Chorus,W,,
Angelic Wall,W,"Defender, Flying",
Angelic Wall,W,"Defender, Flying",
Aura of Silence,W,,
Aven Cloudchaser,W,Flying,
Aven Cloudchaser,W,Flying,
Ballista Squad,W,,
Bandage,W,,
Beacon of Immortality,W,,
Benalish Knight,W,"First strike, Flash",
Benalish Knight,W,"First strike, Flash",
"Cho-Manno, Revolutionary",W,,Legendary
Condemn,W,,
Demystify,W,,
Field Marshal,W,,
Field Marshal,W,,
Ghost Warden,W,,
Glorious Anthem,W,,
Hail of Arrows,W,,
Heart of Light,W,Enchant,
Heart of Light,W,Enchant,
High Ground,W,,
Holy Day,W,,
Holy Strength,W,Enchant,
Holy Strength,W,Enchant,
Honor Guard,W,,
Icatian Priest,W,,
Kjeldoran Royal Guard,W,,
Loxodon Mystic,W,,
Loyal Sentry,W,,
Luminesce,W,,
Mobilization,W,,
Mobilization,W,,
Nomad Mythmaker,W,,
Nomad Mythmaker,W,,
Pacifism,W,Enchant,
Pacifism,W,Enchant,
Paladin en-Vec,W,"First strike, Protection",
Paladin en-Vec,W,"First strike, Protection",
Pariah,W,Enchant,
Pariah,W,Enchant,
Reviving Dose,W,,
Reya Dawnbringer,W,Flying,Legendary
Reya Dawnbringer,W,Flying,Legendary
Righteousness,W,,
Rule of Law,W,,
Samite Healer,W,,
Serra Angel,W,"Flying, Vigilance",
Serra Angel,W,"Flying, Vigilance",
Serra's Embrace,W,Enchant,
Serra's Embrace,W,Enchant,
Skyhunter Patrol,W,"First strike, Flying",
Skyhunter Patrol,W,"First strike, Flying",
Skyhunter Prowler,W,"Flying, Vigilance",
Skyhunter Prowler,W,"Flying, Vigilance",
Skyhunter Skirmisher,W,"Double strike, Flying",
Skyhunter Skirmisher,W,"Double strike, Flying",
Soul Warden,W,,
Spirit Link,W,Enchant,
Spirit Link,W,Enchant,
Spirit Weaver,W,,
Starlight Invoker,W,,
Steadfast Guard,W,Vigilance,
Steadfast Guard,W,Vigilance,
Story Circle,W,,
Suntail Hawk,W,Flying,
Suntail Hawk,W,Flying,
Tempest of Light,W,,
Treasure Hunter,W,,
True Believer,W,,
True Believer,W,,
Tundra Wolves,W,First strike,
Tundra Wolves,W,First strike,
Venerable Monk,W,,
Voice of All,W,Flying,
Voice of All,W,Flying,
Wall of Swords,W,"Defender, Flying",
Wall of Swords,W,"Defender, Flying",
Warrior's Honor,W,,
Wild Griffin,W,Flying,
Wild Griffin,W,Flying,
Windborn Muse,W,Flying,
Windborn Muse,W,Flying,
Wrath of God,W,,
Youthful Knight,W,First strike,
Youthful Knight,W,First strike,
Academy Researchers,U,,
Air Elemental,U,Flying,
Air Elemental,U,Flying,
Ambassador Laquatus,U,Mill,Legendary
Arcanis the Omnipotent,U,,Legendary
Aura Graft,U,,
Aven Fisher,U,Flying,
Aven Fisher,U,Flying,
Aven Windreader,U,Flying,
Aven Windreader,U,Flying,
Boomerang,U,,
Cancel,U,,
Cephalid Constable,U,,
Clone,U,,
Cloud Elemental,U,Flying,
Cloud Elemental,U,Flying,
Cloud Sprite,U,Flying,
Cloud Sprite,U,Flying,
Counsel of the Soratami,U,,
Crafty Pathmage,U,,
Dehydration,U,Enchant,
Dehydration,U,Enchant,
Deluge,U,,
Denizen of the Deep,U,,
Discombobulate,U,,
Dreamborn Muse,U,Mill,
Evacuation,U,,
Flashfreeze,U,,
Fog Elemental,U,Flying,
Fog Elemental,U,Flying,
Fugitive Wizard,U,,
Horseshoe Crab,U,,
Hurkyl's Recall,U,,
Lumengrid Warden,U,,
Mahamoti Djinn,U,Flying,
Mahamoti Djinn,U,Flying,
March of the Machines,U,,
March of the Machines,U,,
Merfolk Looter,U,,
Mind Bend,U,,
Mind Bend,U,,
Peek,U,,
Persuasion,U,Enchant,
Persuasion,U,Enchant,
Phantom Warrior,U,,
Plagiarize,U,,
Puppeteer,U,,
Reminisce,U,,
Remove Soul,U,,
Robe of Mirrors,U,Enchant,
Robe of Mirrors,U,Enchant,
Rootwater Commando,U,"Islandwalk, Landwalk",
Rootwater Commando,U,"Islandwalk, Landwalk",
Rootwater Matriarch,U,,
Sage Owl,U,Flying,
Sage Owl,U,Flying,
Scalpelexis,U,Flying,
Scalpelexis,U,Flying,
Sea Monster,U,,
Shimmering Wings,U,Enchant,
Shimmering Wings,U,Enchant,
Sift,U,,
Sky Weaver,U,,
Sky Weaver,U,,
Snapping Drake,U,Flying,
Snapping Drake,U,Flying,
Spiketail Hatchling,U,Flying,
Spiketail Hatchling,U,Flying,
Sunken Hope,U,,
Telepathy,U,,
Telling Time,U,,
Thieving Magpie,U,Flying,
Thieving Magpie,U,Flying,
Tidings,U,,
Time Stop,U,,
Time Stop,U,,
Time Stretch,U,,
Traumatize,U,Mill,
Twincast,U,,
Twitch,U,,
Unsummon,U,,
Vedalken Mastermind,U,,
Wall of Air,U,"Defender, Flying",
Wall of Air,U,"Defender, Flying",
Afflict,B,,
Agonizing Memories,B,,
Ascendant Evincar,B,Flying,Legendary
Ascendant Evincar,B,Flying,Legendary
Assassinate,B,,
Beacon of Unrest,B,,
Bog Wraith,B,Swampwalk,
Bog Wraith,B,Swampwalk,
Consume Spirit,B,,
Contaminated Bond,B,Enchant,
Contaminated Bond,B,Enchant,
Cruel Edict,B,,
Deathmark,B,,
Diabolic Tutor,B,,
Distress,B,,
Doomed Necromancer,B,,
Dross Crocodile,B,,
Drudge Skeletons,B,,
Drudge Skeletons,B,,
Drudge Skeletons,B,,
Drudge Skeletons,B,,
